gate,threshold,skip,ppl,dppl,acc
G0_membership,1.0000,0.0143,10.9797,0.0564,0.4142
G1_top_prob,0.1226,0.0500,11.1774,0.2541,0.4128
G1_top_prob,0.1598,0.0993,11.4634,0.5400,0.4118
G1_top_prob,0.1860,0.1498,11.8992,0.9759,0.4093
G1_top_prob,0.2110,0.1995,12.4281,1.5048,0.4060
G1_top_prob,0.2381,0.2496,12.8632,1.9399,0.4036
G1_top_prob,0.2636,0.3000,13.4382,2.5149,0.3980
G1_top_prob,0.2908,0.3498,14.1135,3.1902,0.3912
G1_top_prob,0.3204,0.3993,14.6868,3.7635,0.3854
G1_top_prob,0.3529,0.4497,15.4103,4.4870,0.3802
G1_top_prob,0.3898,0.4998,16.2378,5.3145,0.3747
G1_top_prob,0.4313,0.5494,17.0080,6.0847,0.3674
G1_top_prob,0.4782,0.5998,17.9780,7.0547,0.3568
G1_top_prob,0.5289,0.6500,19.1394,8.2161,0.3452
G1_top_prob,0.6000,0.6993,20.3618,9.4385,0.3357
G1_top_prob,0.6765,0.7500,21.8433,10.9200,0.3227
G1_top_prob,0.7663,0.8000,23.4855,12.5622,0.3089
G1_top_prob,0.8750,0.8489,25.4848,14.5615,0.2923
G1_top_prob,0.9761,0.8999,27.4669,16.5436,0.2737
G1_top_prob,1.0000,0.9172,28.1213,17.1980,0.2679
G1b_neg_mixer_top1,-0.6201,0.0500,11.1074,0.1841,0.4124
G1b_neg_mixer_top1,-0.4466,0.1000,11.5058,0.5825,0.4090
G1b_neg_mixer_top1,-0.3535,0.1500,11.9646,1.0413,0.4022
G1b_neg_mixer_top1,-0.2992,0.2000,12.4864,1.5631,0.3968
G1b_neg_mixer_top1,-0.2648,0.2500,13.1730,2.2497,0.3877
G1b_neg_mixer_top1,-0.2373,0.3000,13.8541,2.9308,0.3787
G1b_neg_mixer_top1,-0.2155,0.3500,14.5779,3.6546,0.3719
G1b_neg_mixer_top1,-0.1968,0.4000,15.4392,4.5159,0.3618
G1b_neg_mixer_top1,-0.1809,0.4500,16.2952,5.3719,0.3512
G1b_neg_mixer_top1,-0.1673,0.5000,17.1955,6.2722,0.3423
G1b_neg_mixer_top1,-0.1555,0.5500,18.2368,7.3135,0.3312
G1b_neg_mixer_top1,-0.1441,0.6000,19.2921,8.3688,0.3201
G1b_neg_mixer_top1,-0.1332,0.6500,20.3653,9.4419,0.3099
G1b_neg_mixer_top1,-0.1227,0.7000,21.7363,10.8130,0.2986
G1b_neg_mixer_top1,-0.1123,0.7500,23.2392,12.3159,0.2878
G1b_neg_mixer_top1,-0.1027,0.8000,24.8960,13.9727,0.2754
G1b_neg_mixer_top1,-0.0918,0.8500,26.9163,15.9930,0.2643
G1b_neg_mixer_top1,-0.0808,0.9000,29.0124,18.0891,0.2515
G1b_neg_mixer_top1,-0.0671,0.9500,30.9554,20.0321,0.2406
G1b_neg_mixer_top1,-0.0278,0.9999,32.7765,21.8532,0.2315
G2_LR_cheap,0.6193,0.0500,11.0911,0.1678,0.4138
G2_LR_cheap,0.6966,0.1000,11.3427,0.4194,0.4119
G2_LR_cheap,0.7348,0.1500,11.6663,0.7430,0.4088
G2_LR_cheap,0.7680,0.2000,12.0254,1.1021,0.4058
G2_LR_cheap,0.7922,0.2500,12.4191,1.4958,0.4031
G2_LR_cheap,0.8148,0.3000,12.8082,1.8849,0.3998
G2_LR_cheap,0.8360,0.3500,13.3223,2.3989,0.3957
G2_LR_cheap,0.8541,0.4000,13.9017,2.9784,0.3912
G2_LR_cheap,0.8694,0.4500,14.5193,3.5960,0.3868
G2_LR_cheap,0.8836,0.5000,15.1164,4.1931,0.3821
G2_LR_cheap,0.8975,0.5500,15.8825,4.9592,0.3748
G2_LR_cheap,0.9115,0.6000,16.7394,5.8161,0.3667
G2_LR_cheap,0.9259,0.6500,17.6771,6.7538,0.3590
G2_LR_cheap,0.9384,0.7000,18.7707,7.8474,0.3478
G2_LR_cheap,0.9510,0.7500,20.0867,9.1634,0.3369
G2_LR_cheap,0.9630,0.8000,21.6368,10.7135,0.3239
G2_LR_cheap,0.9732,0.8500,23.4093,12.4860,0.3089
G2_LR_cheap,0.9820,0.9000,25.6698,14.7465,0.2883
G2_LR_cheap,0.9892,0.9500,28.7107,17.7873,0.2614
G2_LR_cheap,0.9971,0.9999,32.7765,21.8532,0.2315
G3_MLP_full,0.4725,0.0500,11.0131,0.0898,0.4147
G3_MLP_full,0.6171,0.1000,11.2548,0.3315,0.4128
G3_MLP_full,0.7073,0.1500,11.5444,0.6210,0.4080
G3_MLP_full,0.7676,0.2000,11.8551,0.9318,0.4057
G3_MLP_full,0.8078,0.2500,12.2914,1.3681,0.4024
G3_MLP_full,0.8400,0.3000,12.7449,1.8216,0.3981
G3_MLP_full,0.8687,0.3500,13.2366,2.3132,0.3932
G3_MLP_full,0.8916,0.4000,13.7822,2.8588,0.3880
G3_MLP_full,0.9096,0.4500,14.4703,3.5470,0.3815
G3_MLP_full,0.9257,0.5000,15.3135,4.3902,0.3738
G3_MLP_full,0.9395,0.5500,16.1440,5.2206,0.3653
G3_MLP_full,0.9507,0.6000,17.1862,6.2629,0.3551
G3_MLP_full,0.9608,0.6500,18.2066,7.2833,0.3448
G3_MLP_full,0.9693,0.7000,19.4227,8.4994,0.3353
G3_MLP_full,0.9766,0.7500,20.8594,9.9361,0.3217
G3_MLP_full,0.9826,0.8000,22.5527,11.6294,0.3081
G3_MLP_full,0.9879,0.8500,24.4634,13.5401,0.2920
G3_MLP_full,0.9921,0.9000,26.7761,15.8528,0.2740
G3_MLP_full,0.9961,0.9500,29.3597,18.4364,0.2562
G3_MLP_full,0.9999,0.9999,32.7516,21.8283,0.2316
