split,context,y,memory_hit,c_h,n1,top_prob,mixer_loss,full_memory_loss,delta_loss
test,"(363, 400)",82,1,146.0,17.0,0.27397260069847107,2.088311,1.814754,0.273557
test,"(65, 78)",479,1,428.0,8.0,0.7196261882781982,3.137309,0.429465,2.707844
test,"(64, 76)",50,1,316.0,55.0,0.10759493708610535,6.570354,4.179752,2.390601
test,"(184, 218)",388,1,195.0,12.0,0.31282052397727966,1.721064,1.921367,-0.200303
test,"(78, 84)",184,1,145.0,20.0,0.4000000059604645,3.469222,1.021122,2.448100
test,"(245, 194)",398,1,33.0,8.0,0.3030303120613098,1.568611,1.923593,-0.354982
test,"(186, 297)",230,1,563.0,28.0,0.7033748030662537,0.345459,0.329741,0.015718
test,"(189, 245)",183,1,641.0,35.0,0.16380655765533447,4.099269,4.366210,-0.266942
test,"(14, 14)",86,1,553.0,41.0,0.49005424976348877,4.372380,2.520543,1.851837
test,"(12, 82)",410,1,961.0,17.0,0.6826222538948059,5.094691,6.833225,-1.738534
test,"(17, 19)",134,1,124.0,30.0,0.1854838728904724,3.406942,2.969010,0.437932
test,"(322, 59)",6,0,0.0,0.0,0.0,3.672099,5.274989,-1.602890
test,"(7, 268)",291,1,222.0,1.0,1.0,1.060571,0.070247,0.990324
test,"(51, 197)",377,1,117.0,3.0,0.8632478713989258,1.413985,0.227896,1.186090
test,"(331, 50)",398,1,320.0,11.0,0.33125001192092896,1.909018,2.830044,-0.921026
test,"(44, 78)",368,1,396.0,10.0,0.631313145160675,4.918161,4.358488,0.559673
test,"(13, 214)",82,1,275.0,14.0,0.27272728085517883,2.177269,1.380966,0.796303
test,"(79, 33)",322,1,87.0,2.0,0.5517241358757019,1.081100,0.843075,0.238025
test,"(322, 70)",415,1,209.0,1.0,1.0,1.305740,0.079074,1.226666
test,"(70, 415)",67,1,210.0,1.0,1.0,0.584040,0.045481,0.538559
test,"(7, 17)",17,1,81.0,11.0,0.4444444477558136,3.379258,2.607742,0.771516
test,"(410, 25)",199,1,114.0,14.0,0.7543859481811523,2.194504,0.360463,1.834041
test,"(245, 225)",322,1,13.0,4.0,0.38461539149284363,1.306630,1.306985,-0.000355
test,"(319, 79)",33,1,154.0,17.0,0.2532467544078827,4.843267,1.491583,3.351684
test,"(110, 201)",497,1,234.0,20.0,0.4145299196243286,3.499470,5.281270,-1.781799
test,"(85, 327)",82,1,353.0,33.0,0.22662889957427979,2.432871,1.512373,0.920498
test,"(47, 78)",82,1,144.0,6.0,0.7777777910232544,3.809892,3.329454,0.480438
test,"(12, 227)",12,1,713.0,4.0,0.9943898916244507,0.735558,0.057595,0.677963
test,"(84, 184)",44,1,133.0,26.0,0.1654135286808014,4.497508,3.299654,1.197854
test,"(302, 29)",325,1,630.0,21.0,0.13809524476528168,3.128591,2.311895,0.816696
test,"(25, 65)",70,1,462.0,5.0,0.6320346593856812,1.472556,0.525979,0.946577
test,"(79, 498)",66,1,323.0,6.0,0.9814241528511047,0.709174,0.066543,0.642631
test,"(76, 175)",6,1,578.0,64.0,0.22145329415798187,5.692239,3.059687,2.632552
test,"(12, 71)",300,1,506.0,5.0,0.7272727489471436,1.044717,0.372737,0.671980
test,"(226, 238)",128,1,257.0,34.0,0.1595330685377121,4.170703,3.570271,0.600432
test,"(128, 141)",226,1,238.0,18.0,0.5630252361297607,0.870536,0.572438,0.298098
test,"(301, 88)",188,1,51.0,1.0,1.0,3.426941,0.115916,3.311025
test,"(82, 324)",84,1,132.0,7.0,0.7803030014038086,2.824275,0.347696,2.476579
test,"(342, 309)",347,1,5.0,4.0,0.4000000059604645,2.868858,1.315689,1.553168
test,"(378, 12)",457,1,576.0,3.0,0.9444444179534912,0.614005,0.101907,0.512098
test,"(13, 20)",182,1,416.0,39.0,0.32932692766189575,6.395454,3.212255,3.183199
test,"(20, 281)",14,1,439.0,38.0,0.39179953932762146,3.429179,1.020081,2.409098
test,"(190, 405)",134,1,112.0,22.0,0.25,3.924625,2.092686,1.831940
test,"(7, 7)",86,1,573.0,52.0,0.20244328677654266,3.518096,3.105988,0.412108
test,"(274, 7)",86,1,27.0,7.0,0.29629629850387573,4.085077,1.930897,2.154180
test,"(479, 302)",29,1,2.0,1.0,1.0,2.173044,0.374114,1.798931
test,"(6, 25)",245,1,345.0,25.0,0.36811593174934387,5.473690,3.089744,2.383945
test,"(302, 29)",26,1,630.0,21.0,0.13809524476528168,1.133521,2.790710,-1.657189
test,"(302, 14)",134,1,697.0,31.0,0.5882353186607361,2.464940,0.618235,1.846705
test,"(25, 323)",26,1,966.0,13.0,0.4399586021900177,0.557360,0.784226,-0.226866
test,"(52, 471)",35,1,406.0,24.0,0.27586206793785095,3.799875,3.244917,0.554958
test,"(188, 173)",25,1,278.0,37.0,0.17985612154006958,3.093100,2.788638,0.304462
test,"(41, 78)",175,1,54.0,2.0,0.9814814925193787,5.105986,0.137068,4.968917
test,"(363, 344)",26,1,142.0,22.0,0.15492957830429077,4.559305,4.700635,-0.141329
test,"(26, 388)",134,1,511.0,21.0,0.34442269802093506,1.364196,1.109198,0.254998
test,"(223, 25)",199,1,249.0,22.0,0.41767069697380066,1.678213,0.912922,0.765291
test,"(175, 72)",76,1,114.0,5.0,0.8333333134651184,3.620483,0.289820,3.330663
test,"(180, 408)",54,1,606.0,15.0,0.5808581113815308,4.270297,2.804101,1.466196
test,"(134, 35)",192,1,676.0,36.0,0.417159765958786,0.920388,0.865776,0.054612
test,"(291, 331)",45,1,273.0,22.0,0.22344322502613068,5.570496,2.950762,2.619735
test,"(91, 134)",385,1,136.0,14.0,0.4852941036224365,4.106140,2.567561,1.538579
test,"(221, 251)",238,1,569.0,41.0,0.15114235877990723,5.131488,2.950562,2.180926
test,"(208, 44)",177,1,30.0,9.0,0.36666667461395264,5.084490,2.307540,2.776950
test,"(285, 109)",203,1,130.0,9.0,0.4307692348957062,2.660240,0.931452,1.728788
test,"(500, 376)",117,1,17.0,4.0,0.3529411852359772,1.822011,1.170389,0.651622
test,"(69, 374)",12,1,510.0,13.0,0.3803921639919281,1.927353,1.256431,0.670922
test,"(86, 8)",291,1,53.0,20.0,0.4528301954269409,2.217110,0.826126,1.390984
test,"(74, 282)",268,1,346.0,17.0,0.6820809245109558,1.879029,0.459752,1.419277
test,"(75, 298)",74,1,532.0,14.0,0.7875939607620239,0.488903,0.256953,0.231951
test,"(88, 243)",233,1,20.0,1.0,1.0,10.244546,0.143244,10.101302
test,"(469, 199)",65,1,358.0,42.0,0.2821229100227356,3.834265,1.355793,2.478472
test,"(22, 281)",134,1,123.0,14.0,0.5853658318519592,2.068051,2.540981,-0.472930
test,"(411, 12)",18,1,708.0,11.0,0.24152542650699615,4.131330,3.147828,0.983503
test,"(12, 86)",397,1,851.0,12.0,0.4618096351623535,4.663522,3.443488,1.220034
test,"(361, 205)",259,1,62.0,4.0,0.725806474685669,6.326893,0.441451,5.885442
test,"(133, 404)",189,1,1049.0,23.0,0.6234509348869324,0.301762,0.440804,-0.139042
test,"(189, 408)",301,1,130.0,13.0,0.23846153914928436,0.652190,1.244243,-0.592053
test,"(39, 71)",32,1,20.0,3.0,0.8500000238418579,5.479131,6.730273,-1.251143
test,"(81, 66)",188,1,126.0,18.0,0.3730158805847168,6.417071,1.103583,5.313488
test,"(66, 88)",44,1,245.0,38.0,0.17142857611179352,5.051485,2.800379,2.251106
test,"(77, 68)",66,1,681.0,22.0,0.3186490535736084,3.230440,2.785727,0.444712
test,"(301, 190)",435,1,251.0,4.0,0.9203187227249146,1.020094,0.147412,0.872682
test,"(84, 66)",66,1,224.0,8.0,0.5223214030265808,4.374447,0.757627,3.616820
test,"(39, 237)",265,1,35.0,2.0,0.8285714387893677,6.030159,1.987095,4.043063
test,"(340, 317)",71,1,61.0,15.0,0.4098360538482666,8.708168,3.906516,4.801652
test,"(128, 143)",376,1,271.0,25.0,0.2398523986339569,1.094016,1.346779,-0.252763
test,"(128, 144)",128,1,212.0,12.0,0.43396225571632385,4.212948,3.273523,0.939424
test,"(320, 509)",13,1,130.0,14.0,0.5846154093742371,1.251659,0.571174,0.680485
test,"(248, 180)",420,1,60.0,16.0,0.36666667461395264,4.345651,4.796942,-0.451291
test,"(7, 90)",240,1,702.0,49.0,0.15099714696407318,6.088626,8.318387,-2.229761
test,"(207, 194)",175,1,69.0,1.0,1.0,4.285929,0.114515,4.171414
test,"(70, 134)",188,1,64.0,22.0,0.359375,4.203823,3.351710,0.852113
test,"(12, 227)",12,1,713.0,4.0,0.9943898916244507,0.201861,0.022420,0.179441
test,"(15, 13)",20,1,360.0,16.0,0.28333333134651184,1.862727,1.312245,0.550482
test,"(320, 68)",361,1,109.0,19.0,0.4403669834136963,5.799195,1.682821,4.116374
test,"(221, 134)",203,1,349.0,30.0,0.28080227971076965,3.711000,3.166977,0.544024
test,"(212, 110)",201,1,507.0,33.0,0.15976330637931824,2.170240,3.058453,-0.888212
test,"(460, 189)",179,1,53.0,20.0,0.2075471729040146,6.118659,6.818792,-0.700133
test,"(13, 68)",242,1,86.0,9.0,0.4651162922382355,6.014596,2.047465,3.967131
test,"(67, 72)",386,1,642.0,16.0,0.37071651220321655,2.670906,2.022848,0.648058
test,"(134, 128)",148,1,266.0,7.0,0.39849624037742615,2.231202,0.999428,1.231774
test,"(304, 12)",227,1,1230.0,20.0,0.43252032995224,3.681512,0.937285,2.744227
test,"(12, 76)",84,1,499.0,14.0,0.8316633105278015,1.807091,0.268192,1.538899
test,"(74, 12)",15,1,116.0,9.0,0.4482758641242981,3.752914,0.933211,2.819703
test,"(83, 12)",20,1,252.0,18.0,0.1944444477558136,4.704638,6.049764,-1.345126
test,"(14, 20)",506,1,315.0,25.0,0.3142857253551483,2.103264,3.161271,-1.058006
test,"(77, 68)",66,1,681.0,22.0,0.3186490535736084,3.533770,2.802641,0.731129
